what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1252530770453
stopped,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1252530770453
stopped,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1252530770453
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1252530770453
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1252530770453
stopped,bundle,org.eclipse.wst.server.http.ui,1.0.200.v20090113,"org.eclipse.wst.server.http.ui",1252530770453
stopped,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1252530770453
stopped,bundle,com.spket.js.debug,1.6.16,"com.spket.js.debug",1252530770453
stopped,bundle,org.eclipse.dltk.console.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.console.ui",1252530770453
stopped,bundle,org.eclipse.debug.ui,3.5.0.v20090520,"org.eclipse.debug.ui",1252530770468
stopped,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1252530770468
stopped,bundle,org.eclipse.rse.efs,2.1.100.v200905272300,"org.eclipse.rse.efs",1252530770468
stopped,bundle,com.spket.xul,1.6.6,"com.spket.xul",1252530770468
stopped,bundle,com.spket.dtd,1.6.6,"com.spket.dtd",1252530770468
stopped,bundle,com.spket.extjs,1.6.15,"com.spket.extjs",1252530770468
stopped,bundle,com.spket.js.xpc,1.6.6,"com.spket.js.xpc",1252530770468
stopped,bundle,com.spket.laszlo,1.6.15,"com.spket.laszlo",1252530770468
stopped,bundle,com.spket.mxml,1.6.15,"com.spket.mxml",1252530770484
stopped,bundle,com.spket.svg,1.6.6,"com.spket.svg",1252530770484
stopped,bundle,com.spket.wpfe,1.6.6,"com.spket.wpfe",1252530770484
stopped,bundle,com.spket.ywt,1.6.6,"com.spket.ywt",1252530770484
stopped,bundle,com.spket.mime,1.6.8,"com.spket.mime",1252530770484
stopped,bundle,com.spket.js,1.6.16,"com.spket.js",1252530770484
stopped,bundle,com.spket.xml,1.6.15,"com.spket.xml",1252530770484
stopped,bundle,com.spket.ui,1.6.16,"com.spket.ui",1252530770484
